Unique ID,Timestamp,Gender^,Country of Nationality^,Country of Residence^,What is your primary occupation?^,Select the option below that best describes your field of study or expertise^,What is your primary area of interest within OpenCon’s program areas?^,"Are you currently engaged in activities to advance Open Access, Open Education, and/or Open Data?^",Are you planning to participate in any of the following events this year?^,Do you have any of the following skills or interests?^
63065861,6/1/2015 7:47:37,Male,Slovakia,Slovakia,Professional advocate,Social Sciences - Other social sciences,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Advocacy and Policy; Research about OpenCon's Issue Areas
29026056,6/1/2015 13:26:09,Male,United Kingdom,United Kingdom,PhD candidate,Natural Sciences - Earth and related environmental sciences,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Blogging; Advocacy and Policy
35849636,6/1/2015 13:34:01,Female,United States of America,United States of America,Publisher,None of these describes my field of study or expertise,Open Access,Yes,Open Access Week,Website Management / Design; Communications and Media; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
25794466,6/1/2015 14:06:40,Female,Mexico,Mexico,Researcher (non-faculty),Social Sciences - Media and communications,Open Access,Yes,,Graphic Design; Social Media Campaigns; Communications and Media; Research about OpenCon's Issue Areas
52870197,6/1/2015 14:38:39,Female,Netherlands,Belgium,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Access,Yes,Open Education Week,Graphic Design; Social Media Campaigns; Fundraising; Communications and Media; Event Logistics
37775705,6/1/2015 14:55:02,Female,Jamaica,United States of America,Faculty/teacher,Social Sciences - Media and communications,Open Access,Yes,Open Access Week,Social Media Campaigns; Communications and Media; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
41342159,6/1/2015 15:00:28,Female,Germany,Germany,PhD candidate,Natural Sciences - Biological sciences,Open Access,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
11702679,6/1/2015 15:01:16,Female,Canada,United States of America,Librarian,Social Sciences - Media and communications,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Communications and Media; Blogging; Event Logistics; Volunteer Management
26067618,6/1/2015 15:08:02,Male,Canada,Canada,Undergraduate student,Social Sciences - Political Science,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Communications and Media; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
38623877,6/1/2015 15:20:29,Male,United States of America,United States of America,Professional advocate,Social Sciences - Media and communications,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
71385945,6/1/2015 15:29:11,Male,South Africa,South Africa,Researcher (non-faculty),Social Sciences - Media and communications,Open Data,Yes,Open Data Day,Graphic Design; Communications and Media; Research about OpenCon's Issue Areas
13528911,6/1/2015 15:32:10,Female,Poland,Poland,Professional advocate,Social Sciences - Sociology,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Blogging; Research about OpenCon's Issue Areas
13309966,6/1/2015 15:34:36,Female,Turkey,Ecuador,Masters/professional student,Natural Sciences - Computer and information sciences,Open Data,Yes,Open Access Week,Coding; Website Management / Design; Blogging; Research about OpenCon's Issue Areas
29000852,6/1/2015 15:40:13,Female,United Kingdom,United States of America,Librarian,None of these describes my field of study or expertise,Open Access,Yes,,Social Media Campaigns; Communications and Media; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
14090018,6/1/2015 15:42:38,Male,Oman,United Kingdom,PhD candidate,Social Sciences - Law,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
67226831,6/1/2015 15:43:12,Male,Turkey,Turkey,Other: MD/PhD dual degree program,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Education Week,Coding; Community / Grassroots Organizing; Fundraising; Advocacy and Policy; Research about OpenCon's Issue Areas
67870760,6/1/2015 15:43:35,Male,Japan,Nigeria,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
16347709,6/1/2015 15:46:18,Male,Iran,Iran,Faculty/teacher,"Agricultural Sciences - Agriculture, forestry, and fisheries",Open Education,Yes,,Blogging; Volunteer Management; Research about OpenCon's Issue Areas
59429348,6/1/2015 15:49:54,Female,Canada,Canada,Librarian,None of these describes my field of study or expertise,Open Access,Yes,Open Access Week,Advocacy and Policy
37537555,6/1/2015 15:52:06,Male,United States of America,United States of America,Librarian,None of these describes my field of study or expertise,Open Data,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
57324629,6/1/2015 15:53:24,Male,United States of America,United States of America,Librarian,Natural Sciences - Computer and information sciences,Open Data,Yes,Open Access Week,Website Management / Design; Video Editing; Fundraising; Advocacy and Policy; Event Logistics
17636020,6/1/2015 15:56:00,Female,Nigeria,Ukraine,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
33781069,6/1/2015 15:59:53,Male,Canada,Canada,Librarian,Natural Sciences - Biological sciences,Open Access,Yes,Open Access Week; Open Data Day,Communications and Media; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
20460336,6/1/2015 16:07:57,Female,United States of America,United States of America,Librarian,Humanities - History and archaeology,Open Access,Yes,Open Access Week,Video Editing; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
13455965,6/1/2015 16:09:16,Male,Dominican Republic,Dominican Republic,Other: Pediatrician,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,,Blogging; Volunteer Management; Research about OpenCon's Issue Areas
69651256,6/1/2015 16:10:07,Female,Italy,Belgium,PhD candidate,Medicine/Health Sciences - Other medical sciences,Open Data,No,,Coding; Website Management / Design; Blogging; Research about OpenCon's Issue Areas
43166621,6/1/2015 16:18:10,Female,United States of America,United States of America,Librarian,None of these describes my field of study or expertise,Open Access,Yes,Open Access Week,Social Media Campaigns; Fundraising; Blogging; Research about OpenCon's Issue Areas
30768311,6/1/2015 16:18:31,Male,Palestinian Territories,Palestinian Territories,Faculty/teacher,Engineering/Technology - Other engineering and technologies,Open Education,Yes,Open Access Week; Open Education Week,Coding; Website Management / Design; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
12085881,6/1/2015 16:19:13,Male,United States of America,United States of America,PhD candidate,Natural Sciences - Earth and related environmental sciences,Open Data,Yes,Open Access Week,Coding; Website Management / Design; Blogging
38642078,6/1/2015 16:20:13,Female,Canada,Canada,PhD candidate,Social Sciences - Other social sciences,Open Access,Yes,Open Access Week; Open Data Day,Community / Grassroots Organizing; Advocacy and Policy
30498673,6/1/2015 16:21:54,Male,Germany,Germany,PhD candidate,Natural Sciences - Biological sciences,Open Data,Yes,Open Access Week,Coding; Website Management / Design; Community / Grassroots Organizing; Blogging; Event Logistics
13094584,6/1/2015 16:24:57,Male,Brazil,Brazil,PhD candidate,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Data,Yes,,Research about OpenCon's Issue Areas
32214582,6/1/2015 16:27:00,Female,Bulgaria,Bulgaria,Faculty/teacher,Social Sciences - Economics and business,Open Data,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
42036780,6/1/2015 16:27:29,Female,Venezuela,Venezuela,Professional advocate,Social Sciences - Law,Open Access,Yes,,Website Management / Design; Communications and Media; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
14794419,6/1/2015 16:33:36,Male,Romania,Romania,Undergraduate student,Natural Sciences - Biological sciences,Open Education,Yes,,Fundraising; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
24725962,6/1/2015 16:35:18,Male,Bosnia and Herzegovina,France,PhD candidate,Social Sciences - Economics and business,Open Access,No,Open Access Week,Volunteer Management; Research about OpenCon's Issue Areas
43910409,6/1/2015 16:35:31,Male,Switzerland,Switzerland,Faculty/teacher,Social Sciences - Law,Open Education,Yes,Open Access Week,Fundraising; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
30363211,6/1/2015 16:40:27,Male,Nigeria,Nigeria,PhD candidate,Humanities - Other humanities,Open Access,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management
38801024,6/1/2015 16:45:03,Female,Netherlands,Belgium,Other: researcher and artist,Social Sciences - Law,Open Access,Yes,Open Access Week; Open Data Day,Coding; Graphic Design; Advocacy and Policy; Research about OpenCon's Issue Areas; Other: talks
33244724,6/1/2015 16:45:52,Male,Pakistan,United States of America,PhD candidate,Engineering/Technology - Civil engineering,Open Access,Yes,Open Access Week; Open Data Day,Coding; Fundraising; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
